10 dicembre 2016;Sci di fondo;Campra;Corso guide
16-18 dicembre 2016;Sci alpino;St.Moritz (GR);Corso guide
13-15 gennaio 2017;Sci alpino;Arosa;Responsabile: Dario Guadagnini
14-15 gennaio 2017;Sci di fondo;Valle di Goms (VS);Responsabile: Daniele Scotti
21 gennaio 2017;Racchette;Capriasca;Responsabile: Giulio Clerici
29 gennaio - 5 febbraio 2017;Sci alpino e fondo;Settimana bianca a Moena (Val di Fassa);Responsabili: Antonella Richina, Sandro Albasini e Gianfranco Rigozzi
10-12 febbraio 2017;Sci alpino;Madesimo;Responsabile: Dario Guadagnini
18 febbraio 2017;Racchette;Da definire;Responsabile: Giulio Clerici
25-26 febbraio 2017;Sci di fondo;Engadina;Responsabile: Daniele Scotti
5 marzo 2017;Racchette;Andermatt;Annullato. Responsabile: Giulio Clerici
11 marzo 2017;Sci di fondo;Campra;Responsabile: Daniele Scotti
17-19 marzo 2017;Sci alpino;St.Moritz (GR);Responsabile: Dario Guadagnini
1 maggio 2017;Tandem;Giro del lago di Lugano;Responsabile: Daniele Scotti
25-28 maggio 2017;Tandem;Cremona;Annullato. Responsabile: Daniele Scotti
10 giugno 2017;Escursionismo;La Via delle Genti;Annullato. Responsabile: Giulio Clerici
1-2 luglio 2017;Escursionismo;Parco nazionale engadinese;Annullato. Responsabile: Dario Guadagnini. Solo per buoni camminatori
22 luglio 2017;Escursionismo;Lucomagno, giro del lago Ritom;Cambiamento. Responsabili: Giulio Clerici, Dario Guadagnini e Sandro Albasini
26 agosto 2017;Tandem;Vallemaggia;Responsabile: Daniele Scotti
2 settembre 2017;Tandem;Rally Unitas Tenero;Responsabile: Sandro Molinari
7 ottobre 2017;Escursione e castagnata;Tenero;Responsabili: Sandro Molinari, Alberto Polli e Donato
11 novembre 2017;Assemblea annuale GTSC (Casa Andreina);Lugano;
